2024-09-10 15:36:22.867747 ; Session        ; Debug       ; Session log loaded as 'C:\Users\gumoreau\Documents\taprunner\TAPRunnerInteractionPlugin\bin\Debug\SessionLogs\tap 2024-09-10 15-36-22.txt'. [1.57 ms]
2024-09-10 15:36:22.889749 ; Session        ; Debug       ; Running '"C:\Users\gumoreau\Documents\taprunner\TAPRunnerInteractionPlugin\bin\Debug\tap.exe" runner session --id 452780b2-f0c8-41ad-b942-0f69612ee721 --nats-server nats://127.0.0.1:20111 --log "C:\Users\gumoreau\Documents\taprunner\TAPRunnerInteractionPlugin\bin\Debug\SessionLogs" --runner-id "5CD148467Q"' in 'C:\Users\gumoreau\Documents\taprunner\TAPRunnerInteractionPlugin\bin\Debug'.
2024-09-10 15:36:22.939045 ; AssemblyFinder ; Debug       ; Found 25/104 assembly files. [33.2 ms]
2024-09-10 15:36:22.952628 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\gumoreau\Documents\taprunner\TAPRunnerInteractionPlugin\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-09-10 15:36:22.976628 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\gumoreau\Documents\taprunner\TAPRunnerInteractionPlugin\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-09-10 15:36:23.065835 ; Searcher       ; Debug       ; Ordered 21 assemblies according to references. [101 ms]
2024-09-10 15:36:23.118839 ; PluginManager  ; Debug       ; Found 17 plugin assemblies containing 288 plugin types. [156 ms]
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.24.2+bafe5eb4  of OpenTap.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.24.2+bafe5eb4  of OpenTap.Package.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 0.0.0            of Keysight.OpenTap.Licensing.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.24.2+bafe5eb4  of OpenTap.Plugins.BasicSteps.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.24.1+b1af3ee5  of Keysight.OpenTap.Wpf.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.24.1+b1af3ee5  of PackageManager.exe
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.24.1+b1af3ee5  of Editor.exe
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.13.0+ee94eeff  of Csv.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.24.1+b1af3ee5  of ResultsViewer.exe
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.24.1+b1af3ee5  of RunExplorer.exe
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 0.0.0            of TAPRunnerInteractionPlugin.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 0.2.0+7e7541d6   of Keysight.OpenTap.CloudDrive.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 1.9.2+48d2728c   of OpenTap.Runner.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2024-09-10 15:36:23.119839 ; PluginManager  ; Debug       ; Searched 25 Assemblies. [158 ms]
2024-09-10 15:36:23.138152 ; AssemblyData   ; Debug       ; Loaded OpenTap. [284 us]
2024-09-10 15:36:23.148155 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.Wpf. [4.13 ms]
2024-09-10 15:36:23.174752 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2024-09-10 15:36:23.174752 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9261.0
2024-09-10 15:36:23.175763 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.24.2+bafe5eb4 X64
2024-09-10 15:36:23.180747 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [5.05 ms]
2024-09-10 15:36:23.180747 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.CloudDrive. [4.17 ms]
2024-09-10 15:36:23.180747 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [4.62 ms]
2024-09-10 15:36:23.180747 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [4.65 ms]
2024-09-10 15:36:23.198441 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [3.94 ms]
2024-09-10 15:36:23.212433 ; AssemblyData   ; Debug       ; Loaded OpenTap.Runner. [4.21 ms]
2024-09-10 15:36:23.247005 ; AssemblyData   ; Debug       ; Loaded mscorlib. [400 ns]
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; Cloud Drive                      - 0.2.0+7e7541d6
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; CSV                              - 9.13.0+ee94eeff
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; Editor                           - 9.24.1+b1af3ee5
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; Keysight Licensing               - 1.4.5+2bd4be43
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; NATS Server                      - 1.1.0+0b98c8aa
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; OpenTAP                          - 9.24.2+bafe5eb4
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; OSIntegration                    - 1.4.2+15f32a31
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; Results Viewer                   - 9.24.1+b1af3ee5
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; Runner                           - 1.9.2+48d2728c
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; SQLite and PostgreSQL            - 9.4.2+3009aace
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; WPF Controls                     - 9.24.1+b1af3ee5
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; PathWave License Manager         - 2.7.0+398d3a87
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; PathWave License Manager Minimal - 1.1.2+0ff8f1b5
2024-09-10 15:36:23.369900 ; Installation   ; Debug       ; VCRedist                         - 1.1.0+67bba1c4
